thumbnail,id,date,issue_number,issue_id,page,url,download_image,text
"{""img_src"": ""https://nla.gov.au/nla.obj-491182680/image?WID=500"", ""width"": 250}",nla.obj-491182680,1893-07-01,698,nla.obj-491169520,5,https://nla.gov.au/nla.obj-491182680,https://nla.gov.au/nla.obj-491182680/image,"

The Bulletin
Vol. 13—1^0.098.
SATURDAY, JULY 1, 1893.
Price, OcL
O’
>*vv
RAT«
(/Wa Sj> > - 9, j)tres
your pew rata pnjj. arj’ tyoy, fclere
wonderin' wbot yell be doin wi lie a
fhadlle. o’ Siller'""
dfg
J/ICK'S .UpLOilp- 'i' al/e.s^lsc^^
—7^°,
THE AUSTRALIAN MARITIME TROUBLE.
[The employer propones to take two-sevenths of Jack’s present pay ; the landlord takes half the balance .]
"
"{""img_src"": ""https://nla.gov.au/nla.obj-688209002/image?WID=500"", ""width"": 250}",nla.obj-688209002,1914-10-01,1807,nla.obj-688187097,7,https://nla.gov.au/nla.obj-688209002,https://nla.gov.au/nla.obj-688209002/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 35. —Ko. 1807.
THURSDAY, OCTOBER 1, 1914.
PiUCB t)u.
STILL CHASING IT.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-539639472/image?WID=500"", ""width"": 250}",nla.obj-539639472,1941-03-05,3186,nla.obj-539558520,7,https://nla.gov.au/nla.obj-539639472,https://nla.gov.au/nla.obj-539639472/image,"

The Bulletin
Vol. 62—No. 3186.
Wednesday, March 5, 1941.
THREE MEN IN A BOAT.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-671797516/image?WID=500"", ""width"": 250}",nla.obj-671797516,1903-03-21,1205,nla.obj-671724245,9,https://nla.gov.au/nla.obj-671797516,https://nla.gov.au/nla.obj-671797516/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission ns a Newspaper.
VOL. 24.— N0. 1205.
SATURDAY, MARCH 21, 1903.
Prick 6d
THE MARK TAPLEY GOVERNMENT.
""He said this-that this drought relief business was all rot and hnmbug, He had not give a farthing to it, and would not associate his name with it. But it suited the papers to continually
assail the Government, and to say that thousands of people in this State were starving, and that it was in a very bad way. Well, it was all bunkum and trash to say that the Government had no
money. They were going to get a lot of money shortly, and fron a new source-the carriage of newspapers.""-Minister CRICK at Erskineville.
MINISTER CRICK (to man from Wayback): ""I TELL YOU, IT'S ALL ROT. THERE'S NO DROUGHT. THIS GOVERNMENT DEOLARED THE DROUGHT
OFF MONTHS AGO. YOU STOP READING THE NEWSPAPERS AND YOU'LL HAVE NO MORE DROUGHT.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-535913153/image?WID=500"", ""width"": 250}",nla.obj-535913153,1944-08-16,3366,nla.obj-535912503,5,https://nla.gov.au/nla.obj-535913153,https://nla.gov.au/nla.obj-535913153/image,"

The Bulletin
Vol. 65—No. 3366.
Wednesday, August 16, 1944.
THE GUTLESS WONDERS.
“Portland coalminers, their strike a dud, have asked the Government to open another butcher's shop in Portland.""
Master-butcher Curtin: “Sorry, Missus, you’ll have to go to Dargin’s shop. WE only deal in tripe.!""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-597720438/image?WID=500"", ""width"": 250}",nla.obj-597720438,1940-11-27,3172,nla.obj-597674350,7,https://nla.gov.au/nla.obj-597720438,https://nla.gov.au/nla.obj-597720438/image,"

The Bulletin
Vol. 61 —No. 3172.
Wednesday, November 27, 1940.
THE NEW ORDER IN EUROPE.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-637853981/image?WID=500"", ""width"": 250}",nla.obj-637853981,1907-09-19,1440,nla.obj-637825600,7,https://nla.gov.au/nla.obj-637853981,https://nla.gov.au/nla.obj-637853981/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 28.—N0. 1440.
THURSDAY, SEPTEMBER 19, 1907.
Pkioe 6d.
DERELICT
GOING DOWN IN THE STORM, THE OLD HULK SECESH (IMBECILITY, MASTER). THERE WAS NO INSURANCE.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-659609444/image?WID=500"", ""width"": 250}",nla.obj-659609444,1918-03-14,1987,nla.obj-659602770,7,https://nla.gov.au/nla.obj-659609444,https://nla.gov.au/nla.obj-659609444/image,"

The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 30.-No. 1087.
THURSDAY, MARCH 14, 1918.
Pkice 6d.
THE SCALP BONUS.
Recruiting-officers have scornfully refused to take the proffered bonus of 10s. a head for recruits.
SERGEANT BILL ANZAC: “Take it away! What sort of a soul have you got to think that we want a tip for helping our mates!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-449852194/image?WID=500"", ""width"": 250}",nla.obj-449852194,1891-10-24,610,nla.obj-449778220,7,https://nla.gov.au/nla.obj-449852194,https://nla.gov.au/nla.obj-449852194/image,"

The Bulletin
V©l.ll-No. 610.
SATURDAY, OCTOBER 24, 1891.
Price, Sd,
2^-'
A TROUBLESOME INFANT.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-449672012/image?WID=500"", ""width"": 250}",nla.obj-449672012,1891-09-19,605,nla.obj-449610440,7,https://nla.gov.au/nla.obj-449672012,https://nla.gov.au/nla.obj-449672012/image,"

The Bulletin
Vel.ll—No. 605.
SATURDAY, SEPTEMBER 19, 1891.
Prisa, > I.
T] I f
AIJ S“ T RALAShAM i fll ?0 '
POLITAN \ 5U Bu 1 R.6A fN-
)f pad'll,, LAND, t
Ti**~
fjtss-e* 0
p/IIPUPf 1 ™ v iD.^
U fund ?
Sl';;**
l^)far / ' LfA/r
laJ |T |-i O'J I >
- Jpct'RiT l /
THE NEW FINANCE.
No. 1: “What’s the use of crackin’ cribs? Let’s get the patronage of a Member or two and start a bank of deposit-paid-up capital four millions!""
No 2: “Yes, and we’ll give twenty per cent, for deposits fixed for ten years.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-532605163/image?WID=500"", ""width"": 250}",nla.obj-532605163,1942-03-11,3239,nla.obj-532562322,5,https://nla.gov.au/nla.obj-532605163,https://nla.gov.au/nla.obj-532605163/image,"

TOO MUCH ON THE SLATE.
“Waal, John, I guess we’d better do sumpin’ about this guy before he drinks us outa house and home.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-535934198/image?WID=500"", ""width"": 250}",nla.obj-535934198,1944-10-04,3373,nla.obj-535933497,5,https://nla.gov.au/nla.obj-535934198,https://nla.gov.au/nla.obj-535934198/image,"

The Bulletin
Vol. 65—No. 3373.
Wednesday, October 4, 1944.
OUR MRS. GUMMIDGE.
“After his emotional outburst Mr. Curtin kept passing his hand under his chin.”
“I'm a lone lorn creetur’ and everythink goes contrairy with me. My troubles has made me contrairy. I wish I didn’t feel ’em, but I do.
I wish I could be hardened to ’em, but I ain’t. I make the House uncomfortable.”— Dickens, and not a word altered.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-620881233/image?WID=500"", ""width"": 250}",nla.obj-620881233,1925-08-20,2375,nla.obj-620821927,11,https://nla.gov.au/nla.obj-620881233,https://nla.gov.au/nla.obj-620881233/image,"

The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper,
Vol. 46.—N0. 2375.
THURSDAY, AUGUST 20, 1925.
Price 6d.
STARVING HIS OWN PACK
“The threatened trouble in the British coal industry has been temporarily averted by the Government undertaking to give subsidies amounting
to £10,000,000 in the ensuing 12 months.”
THE SMALL BOY: “Dad, if you bought tucker regularly for them with the money you now send out of the country, they wouldn’t be so hungry, would they?”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-525295355/image?WID=500"", ""width"": 250}",nla.obj-525295355,1952-01-02,3751,nla.obj-525289589,5,https://nla.gov.au/nla.obj-525295355,https://nla.gov.au/nla.obj-525295355/image,"

The Bulletin
Vol. 73—No. 3751
Wednesday, January 2, 1952
6S
oV
V
HARO
RE-BIRTH OF A SALESMAN.
“Better first of all blow the dust off these, lad', and then got out on the road.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-491202669/image?WID=500"", ""width"": 250}",nla.obj-491202669,1893-08-12,704,nla.obj-491169778,5,https://nla.gov.au/nla.obj-491202669,https://nla.gov.au/nla.obj-491202669/image,"

The Bulletin
Vol. 13—So. 704.
SATURDAY, AUGUST 12, 1893.
Price, 6d.
✓
✓
%
/I
dsf
A DEATH-BED REPENTANCE.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-659139503/image?WID=500"", ""width"": 250}",nla.obj-659139503,1902-03-01,1150,nla.obj-659102595,9,https://nla.gov.au/nla.obj-659139503,https://nla.gov.au/nla.obj-659139503/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission as a Newspaper.
Vox,. 23.—N0. 1150.
SATURDAY. MARCH 1, 1902.
Prick 6t>.
THE MOTHERLAND’S MISALLIANCE.
Febr u ary .- T he Foreigu Orhee announeed the conclusion of a treaty of alliance between Great Britain and Japan.”
NOW , MY GOOD LITTLE SON, PVE GOT MARRIED AGAIN; THIS IS YOUR NEW FATHER. YOU MUST BE VERY FOND OF HIM.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-550330910/image?WID=500"", ""width"": 250}",nla.obj-550330910,1948-04-21,3558,nla.obj-550311011,7,https://nla.gov.au/nla.obj-550330910,https://nla.gov.au/nla.obj-550330910/image,"

The Bulletin
Vol. 69—No. 3558
Wednesday, April 21, 1948
“LABOR’S” FATAL WEB.
""Just cast your vote for price-control, and then my red-backed friend will tie you up completely.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-604977567/image?WID=500"", ""width"": 250}",nla.obj-604977567,1932-12-07,2756,nla.obj-604935312,7,https://nla.gov.au/nla.obj-604977567,https://nla.gov.au/nla.obj-604977567/image,"

The Bulletin
Vo!. 53. —No. 2756.
December 7, 1932.
HARK!
"
"{""img_src"": ""https://nla.gov.au/nla.obj-690563653/image?WID=500"", ""width"": 250}",nla.obj-690563653,1912-02-29,1672,nla.obj-690529172,7,https://nla.gov.au/nla.obj-690563653,https://nla.gov.au/nla.obj-690563653/image,"

The Bulletin
Ptegistered at the General Pose Office, Sydney, for Transmission by Pose as a Newspaper.
Vol. 33. No. 1672.
THURSDAY. FEBRUARY 20. 1912.
Piuoit (in.
NO TRUCKS.—A DREAM OF THE N.S.W. RAILWAYS.
The struggle for the lone truck.
Return of Rip Van Winkle
to the sheep station. He went
to the railway a careless boy
with a load of wool.
Wool brigands lying in wait for train.
The swagman in a new
character.
Back to the old methods. Bullocky William in Qeorge-street, Sydney.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-667794475/image?WID=500"", ""width"": 250}",nla.obj-667794475,1896-08-08,860,nla.obj-667765959,7,https://nla.gov.au/nla.obj-667794475,https://nla.gov.au/nla.obj-667794475/image,"

The Bulletin
Registered at the General Post Office, Sydney, for transmission by post as a Newspaper.
Yol. 17.—N0. 860.
SATURDAY, AUGUST 8, 1896.
Price, Go.
THE N.S.W. BLANKET-BOOM. MIT AT IT MUST COME TO.
“Mr.- , M.P., has got a Government promise of 12 pairs of blankets for distribution among the distressed residents of Yowlahmin, but there are applications far exceeding
that number.”- News ITEM.
POORFEULOW WHITEFELLOW : “ Yon gib it blanket all same poor pfeller blackfeller ? ”
THE FOKEIGNTRADE BOSS: “ Mister Guv'ment baul him got more blanket—you wait Queen’s Birthday all same blackfellow! ’
"
"{""img_src"": ""https://nla.gov.au/nla.obj-664529424/image?WID=500"", ""width"": 250}",nla.obj-664529424,1902-10-11,1182,nla.obj-664505156,9,https://nla.gov.au/nla.obj-664529424,https://nla.gov.au/nla.obj-664529424/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission as a Newspaper.
Voii. 23. No. 1182.
SATURDAY, OCTOBER 11, 1902.
Price 6d.
OBVIOUS.
SANDOW (to meeting of aldermen and other representative citizens at Sydney Town Hall) : “ Of Australians I can only say, from my own observation, that
Australian men have excellent material, and they are one of the finest races I have seen during my travels. But there is a great laxity in
the matter of physical training, and they seem to cultivate their minds at the expense of their bodies.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-638155215/image?WID=500"", ""width"": 250}",nla.obj-638155215,1930-12-10,2652,nla.obj-638020327,7,https://nla.gov.au/nla.obj-638155215,https://nla.gov.au/nla.obj-638155215/image,"

The Bulletin
Vol. 51.—N0. 2652.
December 10, 1930.
HOME GROWN.
“The Australian-born Chief Justice Isaacs has received the congratulations of the Australian Natives’ Association on his appointment as Governor-General.”
“And this other-feller native say Good-oh, my word!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-442600990/image?WID=500"", ""width"": 250}",nla.obj-442600990,1889-03-16,474,nla.obj-442506121,3,https://nla.gov.au/nla.obj-442600990,https://nla.gov.au/nla.obj-442600990/image,"

The Bulletin
Vol. 10—No 474,
SATURDAY, MARCH 16, 1889.
Price, 6d.
PijlL. f j*f.
“Beyond the Grave”: The Late Dr. Bromby.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-690436715/image?WID=500"", ""width"": 250}",nla.obj-690436715,1912-06-06,1686,nla.obj-690427664,7,https://nla.gov.au/nla.obj-690436715,https://nla.gov.au/nla.obj-690436715/image,"

The Bulltin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 33.—N0. 1686.
THURSDAY, JUNE 6, 1912.
PiUCK Go.
THE TANK.
It is drought time. Very little runs into the tank. The foreign trader and the nigger help themselves to the contents.
The caretaker of the house, being a fiscal sinker, stands idly by, while the inadequate fence keeps on being
inadequate.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-681124182/image?WID=500"", ""width"": 250}",nla.obj-681124182,1917-08-23,1958,nla.obj-681098944,7,https://nla.gov.au/nla.obj-681124182,https://nla.gov.au/nla.obj-681124182/image,"

The Bulletin
Registered at the General Post Office, Sydnev, N.S.W. Australia, for Transmission by Post as a Newspaper.
Vol. 38.—N0. 1958,
THURSDAY, AUGUST 23, 1917.
Price 6d.
THE LOGIC OF THE GENERAL STRIKE.
THE OLD MAN: “’Ere, where’s my tea?""
THE OLD WOMAN: “I ain’t gain’ to get you no tea.""
THE OLD MAN: ""Why not?""
THE OLD WOMAN : ""Bill Smith over the road's had a row with his missus-she won't keep proper 'count of the way she spends his money.""
THE OLD MAN: “Well, wot’s that got to do with us?”
THE OLD WOMAN: “I don’t know!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-690206551/image?WID=500"", ""width"": 250}",nla.obj-690206551,1900-07-07,1064,nla.obj-690205154,7,https://nla.gov.au/nla.obj-690206551,https://nla.gov.au/nla.obj-690206551/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Voi.. 21.—N0. 1064.
SATURDAY, JULY 7, 1000.
Pbicb 60.
CARTOONLETS.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-592170436/image?WID=500"", ""width"": 250}",nla.obj-592170436,1940-04-24,3141,nla.obj-592142620,7,https://nla.gov.au/nla.obj-592170436,https://nla.gov.au/nla.obj-592170436/image,"

BIRTHDAY CALL.
“I had my fifty-first birthday on St. Helena. It was the last.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-491279867/image?WID=500"", ""width"": 250}",nla.obj-491279867,1893-12-30,724,nla.obj-491244019,5,https://nla.gov.au/nla.obj-491279867,https://nla.gov.au/nla.obj-491279867/image,"

The Bulletin
Registered at the General Post Office, Sydney, for transmission by post ms a Newspaper.
V#l. 13—50.724,
SATURDAY, DECEMBER 30, 1893.
Price, 6d.
f
A SHOCK TO THE COUNTRY.
""The Premier has announced that instead of the usual yearly deficit there will be a surplus.”
DIBBS : ""Poor little chap! I ought to have broken it to him gently!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-547242195/image?WID=500"", ""width"": 250}",nla.obj-547242195,1946-09-25,3476,nla.obj-547233460,11,https://nla.gov.au/nla.obj-547242195,https://nla.gov.au/nla.obj-547242195/image,"

The Bulletin
Vol, 67—No. 3476
Wednesday, September 25, 1946
“HEADS WILL ROLL.”
“It’s a f-far, far better thing we do, Ch-Chif., than we have ever d-d-done.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-690623060/image?WID=500"", ""width"": 250}",nla.obj-690623060,1905-08-24,1332,nla.obj-690547215,9,https://nla.gov.au/nla.obj-690623060,https://nla.gov.au/nla.obj-690623060/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 26.—N0. 1332.
THURSDAY, AUGUST 34, 1905.
Price 6n.
GOING TO LAW.
N.S.W. Premier Carruthers pro poses going to the High Court with Premier Deakin on 14 points re the Federal Capital. The Court will
presumably meet on the proposed site of the Capital so as to be able to take in the details of the case,' and doubtless (as there will be two
Treasuries to draw fees from) a strong Bar will be engaged.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-618968941/image?WID=500"", ""width"": 250}",nla.obj-618968941,1922-03-02,2194,nla.obj-618909788,7,https://nla.gov.au/nla.obj-618968941,https://nla.gov.au/nla.obj-618968941/image,"

The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 43.—N0. 2194.
THURSDAY, MARCH 2, 1922.
Price 6d.
HE BEGINS TO HAVE DOUBTS.
THE MAN ON THE BED: “Blime, now that I’ve pulled out your feathers to stuff me bed with, I wonder whether you’ll go on layin’ eggs.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-691882286/image?WID=500"", ""width"": 250}",nla.obj-691882286,1898-07-30,963,nla.obj-691872161,7,https://nla.gov.au/nla.obj-691882286,https://nla.gov.au/nla.obj-691882286/image,"

The Bulletin
Registered at the General Post Office, Sydney, Jor Transmission by Post as a Newspaper.
Vor. 19.— N0. 963.
SATURDAY, JULY 30, 1898.
Prior, od.
DRIVEN OUT OF EDEN.-A PRE-RAPHAELITE SKETCH.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-490352215/image?WID=500"", ""width"": 250}",nla.obj-490352215,1895-06-29,802,nla.obj-490331611,7,https://nla.gov.au/nla.obj-490352215,https://nla.gov.au/nla.obj-490352215/image,"

The Bulletin
Registered at the Genera l Post OfUrc, Sydney, 'or transmission by post as a Newspaper,
Vol, 16.—N0. 802.
SATURDAY. JUNE 297 1995.
Prick, -io.
KCCP OFF THC
I. anAS5i!
tarty 'ij tfje
(IANO)LOfIDj andlfa
fULNFSb fantf "" J
/S7s
#
/ v^
"" i* %
N.S.W. PREMIER REID “NOW HAS THE WHOLE COUNTRY AT HIS RACK.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-660606924/image?WID=500"", ""width"": 250}",nla.obj-660606924,1908-10-15,1496,nla.obj-660598966,7,https://nla.gov.au/nla.obj-660606924,https://nla.gov.au/nla.obj-660606924/image,"

The Bulletin.
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 29.—N0. 1496.
THURSDAY, OCTOBER 15, 1908.
PIUOB 6o
THE FEDERAL CAPITAL CHOICE TO DATE.
THE MAN AT THE TAP: “HE WANTED TO PLANT IT BY A RIVER OF HIS OWN, DID HE!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-600838009/image?WID=500"", ""width"": 250}",nla.obj-600838009,1931-04-29,2672,nla.obj-600831429,7,https://nla.gov.au/nla.obj-600838009,https://nla.gov.au/nla.obj-600838009/image,"

The Bulletin
Vol. 52.—N0. 2672.
April 29, 1931.
PLENTY OF REVS. BUT NO MILEAGE.
THE PASSENGER: “We’re doing sixty, and yet the scenery don’t seem to change at all. Funny, isn’t it, Ted?”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-638116347/image?WID=500"", ""width"": 250}",nla.obj-638116347,1906-02-15,1357,nla.obj-638088369,7,https://nla.gov.au/nla.obj-638116347,https://nla.gov.au/nla.obj-638116347/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 27.—N0. 1357.
TJTUKSDAY, FEBRUARY 15, U>o6.
Pkick 6d.
THE TORY LEADERSHIP.
Joseph : “ Well, Arthur, honestly, is It
worth our while quarrelling over tV?at little
remnant of a cake ? ”
BACK TO THE RING.
“ Here we are again ! ”
POLITICS ON TWO SIDES OF THE WORLD.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-692074090/image?WID=500"", ""width"": 250}",nla.obj-692074090,1909-06-03,1529,nla.obj-692063689,7,https://nla.gov.au/nla.obj-692074090,https://nla.gov.au/nla.obj-692074090/image,"

The Bulletin
Registered at the General Post Olhce, Sydney, for Transmission by Post as a Newspaper.
Vol. 30.—N0. 1529.
THURSDAY, JUNE 3, 1909.
Pl!IOI£ f)D
JOSEPH MOSES BREAKING THE TABLES OF THE LAW.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-550308970/image?WID=500"", ""width"": 250}",nla.obj-550308970,1948-03-17,3553,nla.obj-550267277,7,https://nla.gov.au/nla.obj-550308970,https://nla.gov.au/nla.obj-550308970/image,"

The Bulletin
Vol. 69—No. 3553
Wednesday, March 17, 1948
WHO SAID “YOU DIRTY BOY”?
""I can’t see any mud on you, Eddie.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-535044938/image?WID=500"", ""width"": 250}",nla.obj-535044938,1943-02-10,3287,nla.obj-535025528,5,https://nla.gov.au/nla.obj-535044938,https://nla.gov.au/nla.obj-535044938/image,"

The Bulletin
Vol. 64.—N0. 3287.
Wednesday, February 10, 1943.
TAKING NO CHANCES.
""When I die the word ‘Calais’ will be engraven on my heart.” —Mary I, Queen of England.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-550668090/image?WID=500"", ""width"": 250}",nla.obj-550668090,1949-04-20,3610,nla.obj-550647091,5,https://nla.gov.au/nla.obj-550668090,https://nla.gov.au/nla.obj-550668090/image,"

The Bulletin
Vol. 70 —No. 3610
Wednesday, April 20, 1949
THE YEARS ROLL BACK. THOUGH THE YEARS ROLL ON.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-550313419/image?WID=500"", ""width"": 250}",nla.obj-550313419,1948-03-24,3554,nla.obj-550310938,11,https://nla.gov.au/nla.obj-550313419,https://nla.gov.au/nla.obj-550313419/image,"

The Bulletin
Vol. 69—No. 3554
Wednesday, March 24, 1948
HORATIUS HANLON AT THE BRIDGE.
Mick Healyus (McCracken erst),
By his Red gods he lied:
“The bridge I’ll force, though a bleeding corse.”
“Come, friends!” Horatius cried.
Then out spake Spurius Chifleyus,
Who bleats from sea to sea:
“I will NOT stand at thy right hand
And keep the bridge with thee!”
And quoth McGirrnominius,
Pale at the gills was he:
“What, risk my nob in a Commo mob?
Not me, Ned H., not me!”
With drinking and with laughter
They still the story tell,
How Horatius Hanlon kept the bridge
When others ran like hell.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-532585924/image?WID=500"", ""width"": 250}",nla.obj-532585924,1942-02-04,3234,nla.obj-532562224,5,https://nla.gov.au/nla.obj-532585924,https://nla.gov.au/nla.obj-532585924/image,"

SOUTHERLY BUSTER.
“Hey, shut that confounded door!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-592287430/image?WID=500"", ""width"": 250}",nla.obj-592287430,1940-08-07,3156,nla.obj-592224561,7,https://nla.gov.au/nla.obj-592287430,https://nla.gov.au/nla.obj-592287430/image,"

The Bulletin
Vol. 61.—N0. 3156.
August 7, 1940.
“PASS, FRIEND!”
“Control of the Red Sea route is such that large quantities of British shipping are passing through Suez and the Canal, and the routes from Malta and Balkan countries
to Egypt are being kept open.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-662267837/image?WID=500"", ""width"": 250}",nla.obj-662267837,1900-12-08,1086,nla.obj-662103978,15,https://nla.gov.au/nla.obj-662267837,https://nla.gov.au/nla.obj-662267837/image,"

CHRISTMAS
NUMBER
OF THE
BULLETIN
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Vol. 21.—1086.
SATURDAY, DECEMBER 8, 1900.
Price 6d.
Q.E.D.
"" How is it that so many worn-out old johnnies have such up-to-date wives?”
“Oh, that's easy. A fellow has got to work himself to before he can afford them.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-539386281/image?WID=500"", ""width"": 250}",nla.obj-539386281,1945-12-12,3435,nla.obj-539294348,5,https://nla.gov.au/nla.obj-539386281,https://nla.gov.au/nla.obj-539386281/image,"

The Bulletin
Vol, 66—No. 3435
Wednesday, December 12, 1945
CROWS’ CAROL.
“At Caw-hristmias play and make good cheer,
For Caw-hristmas comes but once a year.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-665917296/image?WID=500"", ""width"": 250}",nla.obj-665917296,1920-03-04,2090,nla.obj-665875691,7,https://nla.gov.au/nla.obj-665917296,https://nla.gov.au/nla.obj-665917296/image,"

The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by I J ost as a Newspaper.
Vol. 41.—N0. 2090.
THURSDAY, AJARCH 4. 1920.
Price Gr.
“DRAT THAT BOY!""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-671925113/image?WID=500"", ""width"": 250}",nla.obj-671925113,1903-06-13,1217,nla.obj-671724495,9,https://nla.gov.au/nla.obj-671925113,https://nla.gov.au/nla.obj-671925113/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission ne a Newspaper.
Vol. 24.—N0. 1217.
SATURDAY, JUNE 13, 1903.
Prigs 6d.
PLAYED OUT.
JOHN BULL (to Miss Cobdcnie his housckceper): ""IT IS NOT MY DEAR THAT YOU ARE OLD AND THIN AND UGLY; IT IS NOT THAT YOUR
COOKING IS MAKING ME THEIN. I LOVE YOU STILL, BUT (sob) THE COLONIES INSIST ON OUR PARTING.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-550368435/image?WID=500"", ""width"": 250}",nla.obj-550368435,1948-07-07,3569,nla.obj-550354064,7,https://nla.gov.au/nla.obj-550368435,https://nla.gov.au/nla.obj-550368435/image,"

The Bulletin
Vol. 69 —No. 3569
Wednesday, July 7, 1948
IT’S BRINGING DOWN THE HOUSE.
“Magnificent show, magnificent! But have you seen the Old Chif. Company doing the ‘Skin of Our Teeth’? In it I change my plumage m
mid-flight.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-491272885/image?WID=500"", ""width"": 250}",nla.obj-491272885,1893-12-09,721,nla.obj-491243891,5,https://nla.gov.au/nla.obj-491272885,https://nla.gov.au/nla.obj-491272885/image,"

The Bulletin
JiC.nfr.r rt 1 the hriiernl Post o,[h’re, Spdnrp, for h'dnswihsion hy / oat (is a Ncvisyiaper.
V*l. 13-R0.'721*
SATU KDAY, DECEMBER 9, 1893.
Pric*. 6d.
mrrmy 9mrn f
<W°s?r//vc,
'fame,
'JI/Cfttyr
'Wm*
/f/m/w
MLBMitfit:
fUf ■/
y
ifcfitn
/Ao/ftffrj
ftjfalOljs
'£K*ri
r v#r
J^Kf
S tty
r±m 1 hi
“THOU ART THE MAN!”—WANTED, A CENSORSHIP.
R IGH T-THINKING EDIR OR: ""But , sureiy to goodness, you don't ho ld papers like ours-the Respectable Press-res ponsible for the prevalenc e of gambling!""
LAW: ""Wot I say is, that the printing of sueh stuff as this does more to keep alive the gambling mania than all the sweeps ever published.
editou, oin, and all your sporting news and advts, and there will be no more horse-racing""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-610002851/image?WID=500"", ""width"": 250}",nla.obj-610002851,1927-05-19,2466,nla.obj-609992903,9,https://nla.gov.au/nla.obj-610002851,https://nla.gov.au/nla.obj-610002851/image,"

The Bulletin
Vol. 48—No. 2466.
May 19, 1927.
ANOTHER SALUTE.
""Motor vehicles were responsible for 4915 accidents in Vic. in 1926. There were 410 accidents to children, involving 56 deaths. Careless acts on the part of motor drnei
caused 2160 of the accidents.”
MARS (to the motor hog): “Hail, Master! I couldn't do better myself—especially amongst the children!
"
